"COUNTY_ID","DISTRICT_ID","COUNTY_NAME","NATIVE_ID"
15,1,"Del Norte","DN"
23,1,"Humboldt","HUM"
33,1,"Lake","LAK"
45,1,"Mendocino","MEN"
35,2,"Lassen","LAS"
49,2,"Modoc","MOD"
63,2,"Plumas","PLU"
89,2,"Shasta","SHA"
93,2,"Siskiyou","SIS"
103,2,"Tehama","TEH"
105,2,"Trinity","TRI"
67,3,"Sacramento","SAC"
7,3,"Butte","BUT"
11,3,"Colusa","COL"
17,3,"El Dorado","ED"
21,3,"Glenn","GLE"
57,3,"Nevada","NEV"
61,3,"Placer","PLA"
91,3,"Sierra","SIE"
101,3,"Sutter","SUT"
113,3,"Yolo","YOL"
115,3,"Yuba","YUB"
1,4,"Alameda","ALA"
13,4,"Contra Costa","CC"
41,4,"Marin","MRN"
55,4,"Napa","NAP"
85,4,"Santa Clara","SCL"
81,4,"San Mateo","SM"
75,4,"San Francisco","SF"
95,4,"Solano","SOL"
97,4,"Sonoma","SON"
53,5,"Monterey","MON"
79,5,"San Luis Obispo","SLO"
83,5,"Santa Barbara","SB"
69,5,"San Benito","SBT"
87,5,"Santa Cruz","SCR"
19,6,"Fresno","FRE"
29,6,"Kern","KER"
31,6,"Kings","KIN"
39,6,"Madera","MAD"
107,6,"Tulare","TUL"
37,7,"Los Angeles","LA"
111,7,"Ventura","VEN"
65,8,"Riverside","RIV"
71,8,"San Bernardino","SBD"
51,9,"Mono","MNO"
27,9,"Inyo","INY"
3,10,"Alpine","ALP"
5,10,"Amador","AMA"
9,10,"Calaveras","CAL"
43,10,"Mariposa","MPA"
47,10,"Merced","MER"
77,10,"San Joaquin","SJ"
99,10,"Stanislaus","STA"
109,10,"Tuolumne","TUO"
25,11,"Imperial","IMP"
73,11,"San Diego","SD"
59,12,"Orange","ORA"
